TABELA CBENEF X CST PARA OS BENEFÍCIOS FISCAIS VIGENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cbenef,Aplica ao Simples Nacional,"CST 00 
(Tributada integralmente)","CST 10 
(Tributada e com cobrança do ICMS por substituição tributária)","CST 20 
(Com redução de base de cálculo)","CST 30 
(Isenta ou não tributada e com cobrança do ICMS por substituição tributária)","CST 40 
(Isenta)","CST 41 
(Não tributada)","CST 50 
(Suspensão)","CST 51 
(Diferimento)","CST 60 
(ICMS cobrado anteriormente por substituição tributária)","CST 70 
(Com redução de base de cálculo e cobrança do ICMS por substituição tributária)","CST 90 
(Outras)",DATA INÍCIO,DT FINAL,DESCRIÇÃO: SETORES/PROGRAMAS/BENEFICIÁRIOS,CAPITULAÇÃO LEGAL,OBSERVAÇÃO,,,,,,,,,,,,,,,
ES100024,SIM,,,,SIM,SIM,,,,,,,2004-09-30 00:00:00,,"Operações realizadas com reprodutores e matrizes de animais vacuns, ovinos, suínos e bufalinos.","Art. 5º, XIX do RICMS/ES
Convênio ICMS 35/77
Convênio ICMS 46/90
Convênio ICMS 12/04
Convênio ICMS 74/04",Isenção do ICMS,,,,,,,,,,,,,,,
ES100025,SIM,,,,SIM,SIM,,,,,,,2011-04-01 00:00:00,,Saída interna de leite in natura.,"Art. 5º, XX do RICMS/ES
Convênio ICMS 25/83
Convênio ICMS 43/90
Convênio ICMS 124/93",Isenção do ICMS,,,,,,,,,,,,,,,
ES100026,SIM,,,,SIM,SIM,,,,,,,2019-05-01 00:00:00,,Operações com medicamento destinado ao tratamento dos portadores do vírus da AIDS.,"Art. 5º, XXI do RICMS/ES
Anexo III, item 1 da Lei 7.000/01
Convênio ICMS 10/02
Convênio ICMS 01/19",Isenção do ICMS,,,,,,,,,,,,,,,
ES100027,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Operações com produtos farmacêuticos, realizadas entre órgãos ou entidades públicas.","Art. 5º, XXII do RICMS/ES
Convênio ICMS 40/75
Convênio ICMS 41/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100028,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Operação de importação de medicamentos pela Associação de Pais e Amigos dos Excepcionais (APAE).,"Art. 5º, XXIII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 41/91
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100029,SIM,,,,SIM,SIM,,,,,,,2019-05-01 00:00:00,,Operações com medicamentos destinados ao tratamento de câncer.,"Art. 5º, XXIV do RICMS/ES
Anexo III, item 3 da Lei 7.000/01
Convênio ICMS 162/94
Convênio ICMS 03/19",Isenção do ICMS,,,,,,,,,,,,,,,
ES100030,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operações de importação, pela Fundação Nacional de Saúde e pelo Ministério da Saúde, de produtos destinados às campanhas de vacinação e de combate à dengue, à malária e à febre amarela e outros agravos.","Art. 5º, XXV do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 95/98
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100031,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operações com fármacos e medicamentos destinados a órgãos da Administração Pública Direta Federal, Estadual e Municipal.","Art. 5º, XXVI do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 87/02
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100032,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Fornecimento de refeições, nos termos especificados.","Art. 5º, XXVIII do RICMS/ES
Convênio ICMS 01/75
Convênio ICMS 35/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100033,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída, real ou simbólica, de sucata.","Art. 5º, XXIX do RICMS/ES
V Convênio do RJ de 1968
Convênio ICMS 12/85
Convênio ICMS 31/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100034,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída, de estabelecimento de concessionária de serviços públicos de energia elétrica ou de telecomunicações, de bens destinados à utilização em suas próprias instalações.","Art. 5º, XXX do RICMS/ES
Convênio AE 05/72
Protocolo AE 09/73
Convênio ICMS 33/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100035,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída de mercadorias de produção própria, promovida por instituição de assistência social e educação.","Art. 5º, XXXI do RICMS/ES
Convênio ICMS 38/82
Convênio ICMS 52/90
Convênio ICMS 121/95",Isenção do ICMS,,,,,,,,,,,,,,,
