Tabela de País usada na NF-e – NT 2018.003,,,,
cPais,Nome País,SITUAÇÃO,Data Início,Data Fim
5452,PAPUA NOVA GUINE,,01/01/2006,
5487,NOVA ZELANDIA,,01/01/2006,
5517,VANUATU,,01/01/2006,
5568,OMA,,01/01/2006,
5665,"PACIFICO,ILHAS DO (POSSESSAO DOS EUA)",,01/01/2006,
5738,PAISES BAIXOS (HOLANDA),,01/01/2006,
5754,PALAU,,01/01/2006,
5762,PAQUISTAO,,01/01/2006,
5780,PALESTINA,,29/11/2012,
5800,PANAMA,,01/01/2006,
5860,PARAGUAI,,01/01/2006,
5894,PERU,,01/01/2006,
5932,"PITCAIRN,ILHA",,01/01/2006,
5991,POLINESIA FRANCESA,,01/01/2006,
6033,"POLONIA, REPUBLICA DA",,01/01/2006,
6076,PORTUGAL,,01/01/2006,
6114,PORTO RICO,,01/01/2006,
6238,QUENIA,,01/01/2006,
6254,"QUIRGUIZ, REPUBLICA",,01/01/2006,
6289,REINO UNIDO,,01/01/2006,
6408,REPUBLICA CENTRO-AFRICANA,,01/01/2006,
6475,REPUBLICA DOMINICANA,,01/01/2006,
6602,"REUNIAO, ILHA",,01/01/2006,
6653,ZIMBABUE,,01/01/2006,
6700,ROMENIA,,01/01/2006,
6750,RUANDA,,01/01/2006,
6769,"RUSSIA, FEDERACAO DA",,01/01/2006,
6777,"SALOMAO, ILHAS",,01/01/2006,
6858,SAARA OCIDENTAL,,01/01/2006,
6874,EL SALVADOR,,01/01/2006,
6904,SAMOA,,01/01/2006,
6912,SAMOA AMERICANA,,01/01/2006,
6955,"SAO CRISTOVAO E NEVES,ILHAS",,01/01/2006,
6939,SAO BARTOLOMEU,INCLUÍDO,01/01/2017,
6971,SAN MARINO,,01/01/2006,
6980,"SAO MARTINHO, ILHA DE (PARTE FRANCESA)",CORRIGIDO,01/01/2017,
6998,"SAO MARTINHO, ILHA DE (PARTE HOLANDESA)",CORRIGIDO,01/01/2017,
7005,SAO PEDRO E MIQUELON,,01/01/2006,
7056,SAO VICENTE E GRANADINAS,,01/01/2006,
7102,SANTA HELENA,,01/01/2006,
7153,SANTA LUCIA,,01/01/2006,
7200,"SAO TOME E PRINCIPE, ILHAS",,01/01/2006,
7285,SENEGAL,,01/01/2006,
7315,SEYCHELLES,,01/01/2006,
7358,SERRA LEOA,,01/01/2006,
7370,SERVIA,,01/01/2006,
7412,CINGAPURA,,01/01/2006,
7447,"SIRIA, REPUBLICA ARABE DA",,01/01/2006,
7480,SOMALIA,,01/01/2006,
7501,SRI LANKA,,01/01/2006,
7544,SUAZILANDIA,APENAS ALTERAÇÃO DE NOME,01/01/2006,
7544,ESSUATINI,APENAS ALTERAÇÃO DE NOME,01/01/2006,
7552,SVALBARD E JAN MAYERN,INCLUÍDO,01/01/2017,
7560,AFRICA DO SUL,,01/01/2006,
7595,SUDAO,,01/07/2011,
7600,SUDÃO DO SUL,,01/01/2006,
7641,SUECIA,,01/01/2006,
7676,SUICA,,01/01/2006,
7706,SURINAME,,01/01/2006,
7722,"TADJIQUISTAO, REPUBLICA DO",,01/01/2006,
7765,TAILANDIA,,01/01/2006,
7803,"TANZANIA, REP.UNIDA DA",,01/01/2006,
7811,TERRAS AUSTRAIS E ANTARTICAS FRANCESAS,INCLUÍDO,01/01/2017,
7820,TERRITORIO BRIT.OC.INDICO,,01/01/2006,
7838,DJIBUTI,,01/01/2006,
7889,CHADE,,01/01/2006,
7919,"TCHECA, REPUBLICA",,01/01/2006,
7951,TIMOR LESTE,,01/01/2006,
8001,TOGO,,01/01/2006,
8052,"TOQUELAU,ILHAS",,01/01/2006,
8109,TONGA,,01/01/2006,
8150,TRINIDAD E TOBAGO,,01/01/2006,
8206,TUNISIA,,01/01/2006,
8230,"TURCAS E CAICOS,ILHAS",,01/01/2006,
8249,"TURCOMENISTAO, REPUBLICA DO",,01/01/2006,
8273,TURQUIA,,01/01/2006,
8281,TUVALU,,01/01/2006,
8311,UCRANIA,,01/01/2006,
8338,UGANDA,,01/01/2006,
8451,URUGUAI,,01/01/2006,
8478,"UZBEQUISTAO, REPUBLICA DO",,01/01/2006,
8486,"VATICANO, EST.DA CIDADE DO",,01/01/2006,
8508,VENEZUELA,,01/01/2006,
8583,VIETNA,,01/01/2006,
8630,"VIRGENS,ILHAS (BRITANICAS)",,01/01/2006,
8664,"VIRGENS,ILHAS (E.U.A.)",,01/01/2006,
8702,FIJI,,01/01/2006,
8753,"WALLIS E FUTUNA, ILHAS",INCLUÍDO,01/01/2017,
8737,"WAKE, ILHA",EXCLUÍDO,01/01/2006,31/05/2018
8885,"CONGO, REPUBLICA DEMOCRATICA DO",,01/01/2006,
8907,ZAMBIA,,01/01/2006,
