NCM,Início de vigência da NCM,Fim de vigência da NCM,uTrib para uso em operações de Exportação (Abreviatura),Descrição da uTrib utilizada em operações de Exportação,
03032900,2016-01-01 00:00:00,,KG,Quilograma,
03033100,2016-01-01 00:00:00,,KG,Quilograma,
03033200,2016-01-01 00:00:00,,KG,Quilograma,
03033300,2016-01-01 00:00:00,,KG,Quilograma,
03033400,2016-01-01 00:00:00,,KG,Quilograma,
03033900,2016-01-01 00:00:00,,KG,Quilograma,
03034100,2016-01-01 00:00:00,,KG,Quilograma,
03034200,2016-01-01 00:00:00,,KG,Quilograma,
03034300,2016-01-01 00:00:00,,KG,Quilograma,
03034400,2016-01-01 00:00:00,,KG,Quilograma,
03034500,2016-01-01 00:00:00,,KG,Quilograma,
03034600,2016-01-01 00:00:00,,KG,Quilograma,
03034900,2016-01-01 00:00:00,,KG,Quilograma,
03035100,2016-01-01 00:00:00,,KG,Quilograma,
03035300,2016-01-01 00:00:00,,KG,Quilograma,
03035400,2016-01-01 00:00:00,,KG,Quilograma,
03035500,2016-01-01 00:00:00,,KG,Quilograma,
03035600,2016-01-01 00:00:00,,KG,Quilograma,
03035700,2016-01-01 00:00:00,,KG,Quilograma,
03035910,2017-01-01 00:00:00,,KG,Quilograma,
03035920,2017-01-01 00:00:00,,KG,Quilograma,
03035990,2017-01-01 00:00:00,,KG,Quilograma,
03036300,2016-01-01 00:00:00,,KG,Quilograma,
03036400,2016-01-01 00:00:00,,KG,Quilograma,
03036500,2016-01-01 00:00:00,,KG,Quilograma,
03036600,2016-01-01 00:00:00,,KG,Quilograma,
03036700,2016-01-01 00:00:00,,KG,Quilograma,
03036800,2016-01-01 00:00:00,,KG,Quilograma,
03036910,2016-01-01 00:00:00,,KG,Quilograma,
03036990,2016-01-01 00:00:00,,KG,Quilograma,
03038111,2016-01-01 00:00:00,,KG,Quilograma,
03038112,2016-01-01 00:00:00,,KG,Quilograma,
03038113,2016-01-01 00:00:00,,KG,Quilograma,
03038114,2016-01-01 00:00:00,,KG,Quilograma,
03038119,2016-01-01 00:00:00,,KG,Quilograma,
03038190,2016-01-01 00:00:00,,KG,Quilograma,
03038200,2016-01-01 00:00:00,,KG,Quilograma,
03038311,2016-01-01 00:00:00,,KG,Quilograma,
03038319,2016-01-01 00:00:00,,KG,Quilograma,
03038321,2016-01-01 00:00:00,,KG,Quilograma,
03038329,2016-01-01 00:00:00,,KG,Quilograma,
03038400,2016-01-01 00:00:00,,KG,Quilograma,
03038910,2016-01-01 00:00:00,,KG,Quilograma,
03038920,2016-01-01 00:00:00,,KG,Quilograma,
03038932,2016-01-01 00:00:00,,KG,Quilograma,
03038933,2016-01-01 00:00:00,,KG,Quilograma,
03038941,2016-01-01 00:00:00,,KG,Quilograma,
03038942,2016-01-01 00:00:00,,KG,Quilograma,
03038943,2016-01-01 00:00:00,,KG,Quilograma,
03038944,2016-01-01 00:00:00,,KG,Quilograma,
03038945,2016-01-01 00:00:00,,KG,Quilograma,
03038946,2016-01-01 00:00:00,,KG,Quilograma,
03038951,2016-01-01 00:00:00,,KG,Quilograma,
03038952,2016-01-01 00:00:00,,KG,Quilograma,
03038953,2016-01-01 00:00:00,,KG,Quilograma,
03038954,2016-01-01 00:00:00,,KG,Quilograma,
03038955,2016-01-01 00:00:00,,KG,Quilograma,
03038956,2016-01-01 00:00:00,,KG,Quilograma,
03038961,2016-01-01 00:00:00,,KG,Quilograma,
03038962,2016-01-01 00:00:00,,KG,Quilograma,
03038963,2016-01-01 00:00:00,,KG,Quilograma,
03038964,2016-01-01 00:00:00,,KG,Quilograma,
03038965,2016-01-01 00:00:00,,KG,Quilograma,
03038990,2016-01-01 00:00:00,,KG,Quilograma,
03039110,2023-04-01 00:00:00,,KG,Quilograma,
03039190,2023-04-01 00:00:00,,KG,Quilograma,
03039200,2017-01-01 00:00:00,,KG,Quilograma,
03039910,2017-01-01 00:00:00,,KG,Quilograma,
03039920,2017-01-01 00:00:00,,KG,Quilograma,
